"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 00:00","2020","04","01","00:00","-16.6","","-18.6","","85","","0.0","","28","","18","","11.3","","95.74","","","","-26","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 01:00","2020","04","01","01:00","-15.8","","-18.1","","83","","0.0","","29","","22","","8.1","","95.72","","","","-26","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 02:00","2020","04","01","02:00","-15.6","","-17.6","","85","","0.0","","29","","21","","4.0","","95.71","","","","-25","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 03:00","2020","04","01","03:00","-15.3","","-17.0","","87","","0.0","","30","","18","","1.6","","95.70","","","","-24","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 04:00","2020","04","01","04:00","-15.2","","-16.9","","87","","0.0","","29","","21","","3.6","","95.67","","","","-25","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 05:00","2020","04","01","05:00","-15.6","","-17.4","","86","","0.0","","29","","22","","4.8","","95.64","","","","-25","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 06:00","2020","04","01","06:00","-16.2","","-18.0","","86","","0.0","","29","","22","","4.8","","95.66","","","","-26","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 07:00","2020","04","01","07:00","-16.9","","-18.9","","85","","0.0","","29","","24","","8.1","","95.69","","","","-27","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 08:00","2020","04","01","08:00","-16.2","","-18.6","","82","","0.0","","29","","26","","8.1","","95.74","","","","-27","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2020-04-01 09:00","2020","04","01","09:00","-16.7","","-19.2","","81","","0.0","","29","","24","","16.1","","95.76","","","","-27","","NA"
