"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 00:00","2016","12","01","00:00","-5.6","","-7.4","","87","","0.0","","11","","17","","4.8","","94.18","","","","-12","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 01:00","2016","12","01","01:00","-5.6","","-7.3","","88","","0.0","","9","","15","","12.9","","94.22","","","","-11","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 02:00","2016","12","01","02:00","-5.5","","-6.9","","90","","0.0","","9","","11","","9.7","","94.22","","","","-10","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 03:00","2016","12","01","03:00","-5.5","","-6.9","","90","","0.0","","9","","9","","9.7","","94.25","","","","-10","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 04:00","2016","12","01","04:00","-5.4","","-6.9","","89","","0.0","","9","","9","","9.7","","94.28","","","","-9","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 05:00","2016","12","01","05:00","-5.4","","-6.8","","90","","0.0","","9","","11","","9.7","","94.29","","","","-10","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 06:00","2016","12","01","06:00","-5.4","","-6.8","","90","","0.0","","7","","8","","9.7","","94.35","","","","-9","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 07:00","2016","12","01","07:00","-5.3","","-6.5","","91","","0.0","","8","","9","","8.1","","94.37","","","","-9","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 08:00","2016","12","01","08:00","-5.2","","-6.4","","91","","0.0","","8","","8","","8.1","","94.40","","","","-9","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 09:00","2016","12","01","09:00","-5.1","","-6.4","","91","","0.0","","7","","5","","8.1","","94.48","","","","-7","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 10:00","2016","12","01","10:00","-5.1","","-6.5","","90","","0.0","","10","","5","","8.1","","94.52","","","","-7","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 11:00","2016","12","01","11:00","-4.8","","-6.2","","90","","0.0","","12","","8","","6.4","","94.55","","","","-8","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 12:00","2016","12","01","12:00","-4.5","","-6.0","","89","","0.0","","","M","4","","6.4","","94.60","","","","-6","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 13:00","2016","12","01","13:00","-4.1","","-5.7","","89","","0.0","","","M","4","","6.4","","94.63","","","","-6","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 14:00","2016","12","01","14:00","-3.3","","-5.0","","88","","0.0","","","","0","","8.1","","94.67","","","","","","Fog"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 15:00","2016","12","01","15:00","-1.0","","-3.1","","86","","0.0","","28","","18","","16.1","","94.71","","","","-6","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 16:00","2016","12","01","16:00","-1.0","","-3.2","","85","","0.0","","29","","18","","16.1","","94.75","","","","-6","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 17:00","2016","12","01","17:00","-1.1","","-3.6","","83","","0.0","","26","","15","","16.1","","94.80","","","","-6","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 18:00","2016","12","01","18:00","-2.3","","-4.8","","83","","0.0","","27","","13","","16.1","","94.81","","","","-7","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 19:00","2016","12","01","19:00","-3.0","","-4.7","","88","","0.0","","25","","8","","16.1","","94.81","","","","-6","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 20:00","2016","12","01","20:00","-2.9","","-4.5","","89","","0.0","","27","","8","","16.1","","94.83","","","","-6","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2016-12-01 21:00","2016","12","01","21:00","-3.2","","-5.0","","87","","0.0","","","","0","","16.1","","94.84","","","","","","NA"
