"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 00:00","2018","06","01","00:00","6.7","","4.9","","88","","0.0","","12","","8","","16.1","","94.70","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 01:00","2018","06","01","01:00","6.6","","4.9","","89","","0.0","","9","","5","","16.1","","94.68","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 02:00","2018","06","01","02:00","5.1","","4.4","","95","","0.0","","14","","9","","16.1","","94.66","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 03:00","2018","06","01","03:00","5.4","","4.4","","93","","0.0","","","","0","","16.1","","94.65","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 04:00","2018","06","01","04:00","5.9","","4.7","","92","","0.0","","11","","5","","16.1","","94.63","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 05:00","2018","06","01","05:00","6.3","","5.1","","92","","0.0","","11","","8","","16.1","","94.66","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 06:00","2018","06","01","06:00","7.1","","5.9","","92","","0.0","","8","","11","","16.1","","94.67","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 07:00","2018","06","01","07:00","7.9","","6.4","","90","","0.0","","8","","11","","16.1","","94.69","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 08:00","2018","06","01","08:00","9.2","","6.6","","84","","0.0","","10","","13","","16.1","","94.68","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2018-06-01 09:00","2018","06","01","09:00","10.9","","7.1","","77","","0.0","","11","","9","","16.1","","94.71","","","","","","NA"
