"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 00:00","2015","12","01","00:00","-12.9","","-14.1","","91","","0.0","","11","","4","","16.1","","94.16","","","","-16","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 01:00","2015","12","01","01:00","-13.1","","-15.4","","83","","0.0","","14","","5","","16.1","","94.15","","","","-16","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 02:00","2015","12","01","02:00","-13.9","","-15.9","","85","","0.0","","16","","4","","16.1","","94.16","","","","-17","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 03:00","2015","12","01","03:00","-14.1","","-16.1","","85","","0.0","","11","","8","","16.1","","94.14","","","","-19","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 04:00","2015","12","01","04:00","-13.9","","-15.8","","86","","0.0","","11","","11","","16.1","","94.08","","","","-20","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 05:00","2015","12","01","05:00","-13.4","","-15.3","","86","","0.0","","15","","8","","16.1","","94.09","","","","-18","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 06:00","2015","12","01","06:00","-12.9","","-15.2","","83","","0.0","","12","","9","","16.1","","94.07","","","","-18","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 07:00","2015","12","01","07:00","-14.6","","-16.6","","85","","0.0","","25","","8","","16.1","","94.11","","","","-20","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 08:00","2015","12","01","08:00","-14.0","","-16.0","","85","","0.0","","27","","8","","16.1","","94.21","","","","-19","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-12-01 09:00","2015","12","01","09:00","-14.4","","-16.5","","84","","0.0","","15","","4","","16.1","","94.21","","","","-17","","NA"
