"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 00:00","2015","06","01","00:00","9.3","","7.9","","91","","0.0","","26","","13","","16.1","","94.16","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 01:00","2015","06","01","01:00","9.3","","7.6","","89","","0.0","","25","","9","","16.1","","94.18","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 02:00","2015","06","01","02:00","10.1","","8.4","","89","","0.0","","27","","9","","16.1","","94.22","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 03:00","2015","06","01","03:00","9.6","","7.9","","89","","0.0","","25","","11","","16.1","","94.23","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 04:00","2015","06","01","04:00","10.5","","7.6","","82","","0.0","","33","","9","","16.1","","94.30","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 05:00","2015","06","01","05:00","9.6","","6.9","","83","","0.0","","34","","11","","16.1","","94.30","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 06:00","2015","06","01","06:00","8.9","","6.9","","87","","0.0","","32","","17","","16.1","","94.46","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 07:00","2015","06","01","07:00","7.6","","6.3","","92","","0.5","","30","","22","","16.1","","94.57","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 08:00","2015","06","01","08:00","6.8","","5.9","","94","","0.2","","29","","24","","14.5","","94.62","","","","","","Rain"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 09:00","2015","06","01","09:00","6.2","","4.7","","90","","0.0","","31","","15","","16.1","","94.70","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 10:00","2015","06","01","10:00","6.3","","4.1","","86","","0.0","","31","","22","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 11:00","2015","06","01","11:00","7.0","","3.6","","79","","0.0","","30","","28","","16.1","","94.82","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 12:00","2015","06","01","12:00","6.9","","3.7","","80","","0.0","","30","","21","","16.1","","94.88","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 13:00","2015","06","01","13:00","7.3","","3.2","","75","","0.0","","29","","24","","16.1","","94.91","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 14:00","2015","06","01","14:00","8.1","","3.2","","71","","0.0","","31","","22","","16.1","","94.92","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 15:00","2015","06","01","15:00","9.0","","2.8","","65","","0.0","","31","","17","","16.1","","94.93","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 16:00","2015","06","01","16:00","10.5","","3.5","","62","","0.0","","30","","15","","16.1","","94.92","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 17:00","2015","06","01","17:00","11.0","","3.1","","58","","0.0","","31","","9","","16.1","","94.91","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 18:00","2015","06","01","18:00","11.2","","2.7","","56","","0.0","","34","","8","","16.1","","94.89","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 19:00","2015","06","01","19:00","10.9","","2.1","","54","","0.0","","","M","4","","16.1","","94.92","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 20:00","2015","06","01","20:00","10.4","","3.0","","60","","0.0","","","M","4","","16.1","","94.87","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 21:00","2015","06","01","21:00","7.3","","4.1","","80","","0.0","","26","","4","","16.1","","94.87","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 22:00","2015","06","01","22:00","5.5","","3.8","","89","","0.0","","21","","5","","16.1","","94.90","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-01 23:00","2015","06","01","23:00","5.6","","2.8","","82","","0.0","","","","0","","16.1","","94.94","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-02 00:00","2015","06","02","00:00","3.1","","2.5","","96","","0.0","","","","0","","16.1","","94.95","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-02 01:00","2015","06","02","01:00","2.1","","1.7","","97","","0.0","","","M","4","","16.1","","94.93","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-02 02:00","2015","06","02","02:00","1.8","","0.9","","94","","0.0","","11","","8","","16.1","","94.95","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2015-06-02 03:00","2015","06","02","03:00","0.8","","0.1","","95","","0.0","","13","","11","","16.1","","94.93","","","","","","NA"
