"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 00:00","2017","01","01","00:00","-8.2","","-10.9","","81","","0.0","","30","","28","","11.3","","94.70","","","","-17","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 01:00","2017","01","01","01:00","-8.0","","-11.4","","77","","0.0","","27","","28","","16.1","","94.70","","","","-17","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 02:00","2017","01","01","02:00","-8.1","","-11.0","","80","","0.0","","28","","28","","16.1","","94.75","","","","-17","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 03:00","2017","01","01","03:00","-8.7","","-11.6","","80","","0.0","","28","","34","","16.1","","94.78","","","","-18","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 04:00","2017","01","01","04:00","-9.4","","-12.2","","80","","0.0","","27","","30","","16.1","","94.80","","","","-19","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 05:00","2017","01","01","05:00","-9.6","","-12.3","","81","","0.0","","27","","32","","16.1","","94.83","","","","-19","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 06:00","2017","01","01","06:00","-10.5","","-13.0","","82","","0.0","","27","","28","","16.1","","94.90","","","","-20","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 07:00","2017","01","01","07:00","-10.9","","-13.5","","82","","0.0","","26","","21","","16.1","","94.96","","","","-19","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 08:00","2017","01","01","08:00","-10.8","","-13.3","","82","","0.0","","27","","24","","16.1","","95.00","","","","-20","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 09:00","2017","01","01","09:00","-10.6","","-13.0","","83","","0.0","","30","","26","","4.8","","95.05","","","","-20","","Snow"
"-114.78","55.29","SLAVE LAKE","3065995","2017-01-01 10:00","2017","01","01","10:00","-11.3","","-13.6","","83","","0.0","","29","","28","","16.1","","95.10","","","","-21","","NA"
