"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 00:00","2017","05","01","00:00","2.9","","1.9","","93","","0.0","","31","","8","","16.1","","94.63","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 01:00","2017","05","01","01:00","2.4","","1.4","","93","","0.0","","33","","9","","16.1","","94.65","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 02:00","2017","05","01","02:00","1.2","","0.2","","93","","0.0","","","M","4","","16.1","","94.67","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 03:00","2017","05","01","03:00","1.4","","0.4","","93","","0.0","","34","","5","","16.1","","94.69","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 04:00","2017","05","01","04:00","1.0","","0.0","","93","","0.0","","","M","4","","16.1","","94.71","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 05:00","2017","05","01","05:00","0.3","","-0.7","","93","","0.0","","31","","5","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 06:00","2017","05","01","06:00","2.9","","0.6","","85","","0.0","","31","","13","","16.1","","94.73","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 07:00","2017","05","01","07:00","3.2","","0.8","","84","","0.0","","32","","11","","16.1","","94.77","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 08:00","2017","05","01","08:00","3.3","","0.9","","84","","0.0","","36","","11","","16.1","","94.76","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 09:00","2017","05","01","09:00","4.1","","1.5","","83","","0.0","","36","","17","","16.1","","94.72","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 10:00","2017","05","01","10:00","4.4","","1.2","","80","","0.0","","35","","9","","16.1","","94.75","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 11:00","2017","05","01","11:00","5.0","","1.7","","79","","0.0","","35","","13","","16.1","","94.70","","","","","","NA"
"-114.78","55.29","SLAVE LAKE","3065995","2017-05-01 12:00","2017","05","01","12:00","4.9","","1.3","","77","","0.0","","34","","11","","16.1","","94.65","","","","","","NA"
